Date,Title,Words,URL
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,习近平主席指出，多边主义是维护和平、促进发展的有效路径,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,回顾历史，多边主义是国际体系发展的必然产物,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,多边主义有力推动了国际秩序的民主化和现代化，回应了人类社会超越丛林法则的呼声，顺应了国际关系发展进步的潮流，任何人任何势力都逆转不了多边主义的进程,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,立足现实，多边主义是维护和平发展的重要基石,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,多边协商制定的联合国宪章成为避免后世再遭战祸的重要遵循，以安理会为核心的集体安全机制成为国际和平与安全的重要保障,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,76年来，联合国以和平为己任，已向冲突地区部署70余项维和行动；以发展为目标，制定实施千年发展目标和2030年可持续发展议程；以公平为要义，坚持大小国家一律平等,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,联合国为多边主义提供了最佳实践场所，多边主义为维护和平稳定、促进发展繁荣发挥了不可或缺的作用,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,冷战结束以来，世界多极化、经济全球化、社会信息化深入发展，各国前途命运通过共同挑战、共同利益、共同责任越来越紧密地联系在一起,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,以联合国为中心、以区域合作组织为补充的多边机制蓬勃发展，为各国应对共同挑战、凝聚合作共识提供了关键的平台，重要的支撑,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,人类过去的发展离不开多边主义，未来的进步更离不开多边主义,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,新中国成立后，中国同印度、缅甸共提和平共处五项原则，与亚非国家共倡万隆会议十项原则，为如何践行联合国宪章宗旨原则提供了可见可行的“操作手册”，为多边主义理念丰富发展提供了东方智慧,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,中国作为反对殖民主义和霸权主义的中坚力量，大力支持亚非拉国家争取民族解放，一大批新独立发展中国家加入联合国，多边主义进步力量不断发展壮大,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,积极参与联合国维和、国际军控、裁军、防扩散和反恐合作，推动朝鲜半岛核、伊朗核、缅甸、南苏丹、阿富汗等热点问题的政治解决，为维护世界和平与安全展现中国担当,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,积极开展南南合作和南北对话，拓展能源、粮食、网络、极地、外空、海洋等领域国际合作，为可持续发展事业作出中国努力,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,发起创建上海合作组织、博鳌亚洲论坛、中非合作论坛、中阿合作论坛、中拉论坛等多边平台，推动亚太自贸区、中日韩、中国—东盟等区域合作发展，为各层次多边机制互补互促发挥中国作用,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,党的十八大以来，习近平总书记以宽广全球视野、深邃战略思维、博大领袖襟怀，深刻把握历史发展规律和人类前途命运，多次在联合国、二十国集团、亚太经合组织、金砖国家等多边机制会议上发表重要讲话，提出一系列富有中国特色、符合国际期待、顺应历史大势的新理念新倡议新主张，为弘扬、践行和发展多边主义提供了重要战略引领，得到国际社会广泛赞誉,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,面对“世界怎么了、我们怎么办”的时代之问，习近平主席历史性提出构建人类命运共同体的宏伟倡议，推动世界各国超越社会制度、历史文化的差异，携手建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界，为处于十字路口的国际社会指引前进方向,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,面对严峻复杂全球性挑战，习近平主席系统阐明中国的发展观、安全观、文明观、生态观、国际秩序观和全球治理观，为破解治理赤字、信任赤字、和平赤字、发展赤字提供中国方案,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,面对世界各国加强互联互通、实现更大发展的普遍需求，习近平主席开创性提出共建“一带一路”重大倡议，我国已同172个国家和国际组织签署合作文件，打造迄今为止中国提供的最大全球公共产品,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,面对单边主义、保护主义肆虐，习近平主席旗帜鲜明地维护多边主义、自由贸易和开放型世界经济，呼吁经济全球化朝着开放、包容、普惠、平衡、共赢的方向发展,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,它们表面上打着多边合作的旗号，实质上搞的是“小圈子”，试图以意识形态划线站队；表面上说要遵守规则，实质上却对国际法合则用不合则弃；表面上主张公平竞争，实质上追求“庄家通吃”，打压别国正当发展权利,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,倡导并践行多边主义，要以维护世界和平、促进共同发展为目标，以维护公平正义、推动互利共赢为宗旨，坚定维护以联合国为核心的国际体系，坚定维护以国际法为基础的国际秩序，坚定维护联合国在国际体系中的中心地位,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,全球事务由各国一起商量着办，治理体系由大家携手建设，发展成果由各国人民共同分享,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,推动各国权利平等、机会平等、规则平等，扩大发展中国家的代表性和发言权，使全球治理体系符合已经深刻变化的世界政治经济，满足应对全球性挑战的现实需要，顺应和平发展合作共赢的历史趋势,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,各国应当摒弃意识形态偏见，尊重彼此选择的发展道路，坚守和平、发展、公平、正义、民主、自由的全人类共同价值,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,各国要将本国利益寓于全球利益之中，针对当今世界突出的治理、信任、和平、发展“四大赤字”，拿出切实举措，争取可视性成果,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,用好新中国恢复联合国合法席位50周年、加入世界贸易组织20周年、上海合作组织成立20周年等重要契机，办好《生物多样性公约》第十五次缔约方大会、第二届联合国全球可持续交通大会等主场外交，继续做国际秩序的捍卫者、可持续发展的推动者、地区稳定的维护者、生态文明的建设者,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,积极参与应对气候变化、网络安全、公共卫生等全球性挑战，深化农业、减贫、妇女儿童、生物多样性等领域国际合作,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,立足新发展阶段，更好对接新发展理念与联合国可持续发展议程，为构建新发展格局和实施“十四五”规划提供多边外交支撑,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,高举人类命运共同体大旗，全面阐述和积极践行我国的发展观、文明观、安全观、人权观、生态观、国际秩序观和全球治理观,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,倡导不同文明包容互鉴，开展各种形式人文交流，推动我国同各国民心相通，反对虚假信息和歧视偏见,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,捍卫并践行真正多边主义，体现了习近平外交思想的重要内涵，传承了中华文明“天下为公”的世界情怀，反映了广大发展中国家期待国际关系民主化的强烈呼声,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
2021-07-09,深入贯彻习近平外交思想　高举真正多边主义火炬（2021-07-09）,在中华民族走向伟大复兴的历史进程之中，中国特色大国外交将沿着多边主义道路，为人类的和平与发展事业作出更大贡献,https://www.mfa.gov.cn/web/wjbz_673089/zyjh_673099/202111/t20211129_10458222.shtml
